Date : 2025-04-09 14:59:20
Directory : d:\demo\Back-End\Cukcuk.Api
Total : 78 files,  7639 codes, 34 comments, 1010 blanks, all 8683 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Cukcuk.Api.props                              | XML          |          3 |          0 |          0 |          3 |
| d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                      | C#           |          3 |          1 |          1 |          5 |
| d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.AssemblyInfo.cs                                                          | C#           |          9 |         10 |          5 |         24 |
| d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig                                | EditorConfig |         19 |          0 |          1 |         20 |
| d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GlobalUsings.g.cs                                                        | C#           |         16 |          1 |          1 |         18 |
| d:\demo\Back-End\Cukcuk.Api\obj\project.assets.json                                                                                | JSON         |      9,679 |          0 |          0 |      9,679 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Cukcuk.Infrastructure.csproj                                                                | XML          |        -23 |          0 |         -5 |        -28 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Data\ApplicationDbContext.cs                                                                | C#           |       -210 |          0 |        -44 |       -254 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\CustomerGroupRepository.cs                                                     | C#           |        -35 |          0 |         -7 |        -42 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\CustomerRepository.cs                                                          | C#           |       -195 |          0 |        -37 |       -232 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\DepartmentRepository.cs                                                        | C#           |        -40 |          0 |         -8 |        -48 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\DocumentRepository.cs                                                          | C#           |       -250 |          0 |        -68 |       -318 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\EmployeeRepository.cs                                                          | C#           |       -215 |          0 |        -37 |       -252 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\ImportRepository.cs                                                            | C#           |        -52 |          0 |        -11 |        -63 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\MenuRepository.cs                                                              | C#           |        -40 |          0 |         -8 |        -48 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\MessageRepository.cs                                                           | C#           |        -80 |          0 |        -16 |        -96 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\PermissionRepository.cs                                                        | C#           |        -46 |          0 |         -9 |        -55 |
| d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\PositionRepository.cs                                                          | C#           |        -39 |          0 |         -7 |        -46 |
| d:\demo\Back-End\Cukcuk.Infrastructure\bin\Debug\net8.0\Cukcuk.Infrastructure.deps.json                                            | JSON         |     -3,117 |          0 |          0 |     -3,117 |
| d:\demo\Back-End\Cukcuk.Infrastructure\bin\Debug\net8.0\Cukcuk.Infrastructure.runtimeconfig.json                                   | JSON         |        -19 |          0 |          0 |        -19 |
