"filename", "language", "C#", "XML", "JSON", "EditorConfig", "comment", "blank", "total"
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.dgspec.json", "JSON", 0, 0, 138, 0, 0, 0, 138
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.g.props", "XML", 0, 24, 0, 0, 0, 0, 24
"d:\demo\Back-End\Cukcuk.Core\obj\Cukcuk.Core.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 0, 10
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\Cukcuk.Core.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\Cukcuk.Core.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 15, 0, 1, 16
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\Cukcuk.Core.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\demo\Back-End\Cukcuk.Core\obj\Debug\net8.0\Cukcuk.Core.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Core\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Core\obj\Release\net8.0\Cukcuk.Core.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Core\obj\Release\net8.0\Cukcuk.Core.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 13, 0, 1, 14
"d:\demo\Back-End\Cukcuk.Core\obj\Release\net8.0\Cukcuk.Core.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\demo\Back-End\Cukcuk.Core\obj\project.assets.json", "JSON", 0, 0, 8034, 0, 0, 0, 8034
"Total", "-", 2764, 89, 10710, 28, 39, 583, 14213
